author,hindex,productivity,TNC,ANC,UNT,PNUOT,MAX PNUOT,MEAN PNUOT,diversity,persistance
1,11,34,514,15.117647058823529,3,7=26=1,0.7647058823529411,11.333333333333334,0.49019607410611304,0.9444444444444444
12,19,54,1179,21.833333333333332,3,48=2=4,0.8888888888888888,18.0,0.5679012314128944,1.0
18,18,64,1031,16.109375,6,2=19=21=14=7=1,0.328125,10.666666666666666,0.41145832947591154,0.8064516129032258
21,11,37,515,13.91891891891892,5,1=21=1=13=1,0.5675675675675675,7.4,0.5621621545653763,0.8571428571428571
40,6,33,109,3.303030303030303,9,6=8=1=3=3=9=1=1=1,0.2727272727272727,3.6666666666666665,0.4377104257728807,0.39285714285714285
50,5,38,108,2.8421052631578947,11,6=13=3=2=6=1=1=1=1=3=1,0.34210526315789475,3.4545454545454546,0.48325357452782713,0.7272727272727273
61,14,92,891,9.684782608695652,16,41=17=4=6=1=2=1=1=1=2=8=2=1=2=2=1,0.44565217391304346,5.75,0.6494565104442346,0.8064516129032258
87,12,50,524,10.48,17,13=2=1=2=5=2=1=1=1=2=1=12=2=1=2=1=1,0.26,2.9411764705882355,0.49882351245176537,0.2222222222222222
91,9,54,356,6.592592592592593,18,5=3=7=2=1=5=3=9=2=1=2=1=2=2=5=1=2=1,0.16666666666666666,3.0,0.3806584235253776,0.7741935483870968
109,26,107,3310,30.934579439252335,14,1=8=3=9=24=40=2=2=1=9=1=1=5=1,0.37383177570093457,7.642857142857143,0.6228304324382666,0.8823529411764706
148,10,58,542,9.344827586206897,19,1=8=4=1=1=7=1=4=3=6=4=2=1=1=6=1=4=1=2,0.13793103448275862,3.0526315789473686,0.3974591521340513,0.22580645161290322
162,9,41,251,6.121951219512195,6,24=10=1=2=1=3,0.5853658536585366,6.833333333333333,0.581300804501289,0.8125
165,8,37,321,8.675675675675675,14,4=2=2=12=1=3=3=3=1=1=1=1=1=2,0.32432432432432434,2.642857142857143,0.42664091049775693,0.8484848484848485
176,12,74,719,9.716216216216216,14,12=21=13=6=1=3=2=3=7=1=2=1=1=1,0.28378378378378377,5.285714285714286,0.5424710322080769,0.7307692307692307
182,5,31,72,2.3225806451612905,7,5=10=10=1=1=2=2,0.3225806451612903,4.428571428571429,0.4423963033744613,0.8888888888888888
190,19,106,1523,14.367924528301886,15,5=34=7=8=1=3=18=21=2=1=1=2=1=1=1,0.32075471698113206,7.066666666666666,0.6176100541533169,0.7714285714285715
224,24,302,2504,8.291390728476822,30,27=2=3=111=1=14=1=55=20=16=3=5=1=1=3=1=3=3=2=1=9=2=1=4=1=5=2=1=3=1,0.3675496688741722,10.066666666666666,0.7286975645052118,0.9354838709677419
263,18,116,1251,10.78448275862069,18,13=9=45=3=6=2=6=1=8=4=1=3=2=3=5=2=1=2,0.3879310344827586,6.444444444444445,0.5651340908475361,0.8
266,13,70,524,7.485714285714286,20,3=6=8=1=3=1=14=9=1=2=6=1=3=1=1=4=3=1=1=1,0.2,3.5,0.4757142721224493,0.625
291,13,82,639,7.7926829268292686,16,1=6=1=2=25=24=1=9=1=2=1=1=3=1=2=2,0.3048780487804878,5.125,0.6204268171624036,0.7333333333333333
298,16,102,869,8.519607843137255,14,12=4=67=3=1=5=1=1=1=1=3=1=1=1,0.6568627450980392,7.285714285714286,0.736694667759653,1.0
299,11,68,358,5.264705882352941,16,2=2=19=9=10=1=4=3=4=1=4=2=3=1=1=2,0.27941176470588236,4.25,0.4871323414792389,0.5161290322580645
338,10,34,301,8.852941176470589,6,4=20=1=7=1=1,0.5882352941176471,5.666666666666667,0.5686274409457902,0.9230769230769231
356,8,31,231,7.451612903225806,7,15=1=5=6=2=1=1,0.4838709677419355,4.428571428571429,0.5161290206035382,1.0
360,11,45,394,8.755555555555556,14,2=8=3=2=5=1=1=14=2=3=1=1=1=1,0.3111111111111111,3.2142857142857144,0.4904761752169316,0.3225806451612903
383,5,33,84,2.5454545454545454,9,17=1=2=3=1=1=4=3=1,0.5151515151515151,3.6666666666666665,0.5319865174778087,0.7916666666666666
409,15,118,1407,11.923728813559322,8,42=2=38=30=1=1=1=3,0.3559322033898305,14.75,0.5932203349612181,1.0
468,18,77,1192,15.480519480519481,8,9=5=35=21=1=4=1=1,0.45454545454545453,9.625,0.5892857081632653,0.8571428571428571
483,19,119,1185,9.957983193277311,21,7=45=3=8=5=1=26=2=2=1=1=1=1=2=4=2=1=1=2=3=1,0.37815126050420167,5.666666666666667,0.6530612129651864,0.7692307692307693
499,12,63,506,8.031746031746032,12,10=14=11=1=15=1=2=1=3=1=2=2,0.23809523809523808,5.25,0.5145502547493073,0.48148148148148145
509,21,162,1641,10.12962962962963,28,1=4=24=14=4=1=4=20=10=1=10=22=3=3=4=1=8=3=8=4=1=2=3=3=1=1=1=1,0.14814814814814814,5.785714285714286,0.5383597790548046,0.9354838709677419
538,15,82,650,7.926829268292683,20,2=3=11=6=9=3=2=3=3=22=2=2=3=2=1=1=1=4=1=1,0.2682926829268293,4.1,0.4951219391433673,0.6666666666666666
559,7,34,195,5.735294117647059,6,1=29=1=1=1=1,0.8529411764705882,5.666666666666667,0.686274497693195,0.9032258064516129
582,9,89,357,4.01123595505618,19,1=8=27=2=11=1=10=4=4=3=5=3=1=4=1=1=1=1=1,0.30337078651685395,4.684210526315789,0.552335884128134,0.8387096774193549
603,7,32,213,6.65625,13,1=4=1=1=4=3=8=2=1=2=2=2=1,0.25,2.4615384615384617,0.3701922926532458,0.65625
628,22,193,1994,10.33160621761658,36,6=13=7=4=6=2=3=5=9=1=14=7=28=9=3=2=1=4=3=1=1=28=14=1=1=5=2=2=1=2=2=1=2=1=1=1,0.14507772020725387,5.361111111111111,0.5522452401308315,0.6857142857142857
642,18,105,1321,12.58095238095238,23,30=1=5=2=3=1=7=5=8=3=2=11=1=9=2=2=1=1=2=2=1=1=5,0.2857142857142857,4.565217391304348,0.5383022656413293,0.5666666666666667
653,19,189,1417,7.497354497354498,40,7=16=2=3=4=12=4=13=1=22=2=8=2=1=3=3=1=1=12=2=4=1=9=1=4=1=2=7=9=2=1=2=2=11=1=4=1=1=6=1,0.1164021164021164,4.725,0.5038359681727838,0.8
668,15,48,585,12.1875,17,8=3=14=1=3=1=1=1=2=1=3=1=1=4=2=1=1,0.2916666666666667,2.823529411764706,0.48529410045955945,0.45714285714285713
687,20,174,1518,8.724137931034482,28,5=2=12=27=16=1=7=2=15=9=4=4=9=10=1=2=6=15=1=1=9=2=6=1=3=1=2=1,0.15517241379310345,6.214285714285714,0.5012315190278016,0.7941176470588235
689,18,131,1454,11.099236641221374,33,6=2=9=6=1=6=1=12=1=1=3=4=1=1=1=2=1=31=5=10=2=5=2=8=1=1=1=1=1=2=1=1=1,0.2366412213740458,3.9696969696969697,0.5584084985402069,0.45714285714285713
705,13,86,775,9.011627906976743,23,2=1=3=1=4=1=1=3=34=2=3=6=4=1=1=2=2=4=5=1=1=1=3,0.3953488372093023,3.739130434782609,0.5439838074940629,0.696969696969697
